Font,style,Size,Strikethrough,strikethrough,Superscript,Subscript,Shadow,Outline,Emboss,Enqrave,caps,caps,Hidden
NsimSun,Bold,8,false,false,false,true,true,false,true,false,true,true,true
Onyx,Regular,10,true,true,true,true,false,true,false,false,true,false,false
Nyala,Bold,10,true,true,false,false,true,false,false,true,true,false,true
Nyala,Italic,9,true,false,false,true,false,false,true,false,false,false,false
English,Regular,8,true,false,true,false,true,true,false,false,false,false,true
text,Italic,13,false,false,true,false,false,true,false,true,false,true,true
MT,Italic,8,true,false,true,false,false,true,true,true,false,false,true
Onyx,Bold,8,false,true,true,false,false,true,true,true,false,true,true
English,Bold,9,false,true,false,true,false,true,true,true,true,true,false
Old,Italic,10,true,true,false,false,true,false,true,true,true,false,true
Palatino,Italic,11,true,true,false,false,true,false,false,true,true,false,false
Palatino,Bold,13,true,false,true,false,true,true,false,true,true,false,false
NsimSun,Bold,11,true,true,true,false,true,false,false,true,false,true,false
English,Italic,10,false,true,false,false,false,false,true,false,false,false,false
Linotype,Italic,9,false,true,true,false,true,false,false,false,true,true,true
text,Bold,11,false,false,true,false,true,false,false,true,true,false,true
Onyx,Bold,9,false,false,true,true,true,false,false,false,false,false,false
MT,Italic,10,false,true,true,false,false,true,false,true,true,true,true
Linotype,Regular,12,false,false,false,true,false,false,true,true,false,true,true
Nyala,Italic,12,true,false,true,false,true,true,false,false,true,false,false
Onyx,Italic,12,true,true,false,true,true,true,false,false,false,false,true
MT,Bold,9,true,false,true,false,true,false,false,false,false,true,false
Old,Regular,13,true,false,true,true,true,false,false,false,false,false,true
MT,Bold,13,true,true,false,false,false,true,true,true,true,true,true
MT,Regular,11,true,false,false,true,false,true,false,false,true,true,true
Palatino,Bold,10,false,false,true,true,false,true,true,false,false,true,false
text,Regular,12,false,false,true,true,false,false,false,true,true,true,false
NsimSun,Italic,10,true,true,false,true,false,true,false,false,true,true,false
English,Bold,11,true,true,false,true,false,true,true,true,true,true,false
Nyala,Bold,13,true,false,true,true,true,true,false,false,true,true,true
NsimSun,Italic,12,true,false,true,true,false,true,false,true,true,false,true
text,Bold,9,false,true,false,false,true,true,true,false,true,true,true
Palatino,Regular,8,true,false,true,false,false,true,false,false,false,true,true
Palatino,Italic,12,false,true,false,true,true,true,false,true,true,false,true
Linotype,Italic,8,false,true,true,false,true,true,true,true,false,true,false
Old,Bold,9,false,true,false,true,true,true,false,false,false,false,true
NsimSun,Regular,9,true,true,true,false,true,false,false,true,true,false,true
Onyx,Italic,11,false,false,true,true,true,true,true,true,false,true,true
Old,Bold,12,false,true,false,true,false,false,false,false,true,true,false
text,Italic,10,true,false,false,true,false,true,false,false,false,true,true
MT,Bold,12,true,true,true,true,true,true,true,false,true,true,false
Old,Italic,11,true,false,true,true,false,true,true,true,false,true,false
NsimSun,Regular,13,true,true,false,true,true,false,false,false,true,false,false
English,Italic,13,true,true,true,false,true,false,true,true,false,true,false
Linotype,Bold,11,false,false,true,false,true,true,false,false,true,true,true
Nyala,Regular,8,false,false,false,true,false,true,false,false,true,true,false
Onyx,Italic,13,true,false,true,true,true,true,true,false,false,true,false
Linotype,Italic,13,true,false,false,false,false,false,true,true,false,true,true
Palatino,Bold,9,false,true,false,true,true,true,false,false,false,true,false
Nyala,Regular,11,false,true,false,false,false,false,true,false,true,true,false
text,Bold,8,true,true,false,true,true,false,false,true,true,true,false
English,Italic,12,true,true,true,true,true,true,false,false,true,true,false
Old,Bold,8,true,true,false,true,true,false,false,false,true,true,true
Linotype,Bold,10,true,false,true,false,true,true,true,false,false,false,true
